5,5,5000,1.92,15243
5,5,5000,4.0166,14328
5,5,5000,3.9043,14711
5,5,5000,377.92,9.9522e+05
6,5,5000,80.232,1.0137e+06
6,5,5000,2.0335,5510.1
6,5,5000,1.8519,5579.6
6,5,5000,3.0102,6378
6,5,5000,0.69422,6296.9
6,5,5000,1.8575,1.0455e+06
6,5,5000,2.8879,1.0371e+06
6,5,5000,0.16795,1.0197e+06
6,5,5000,2.783,1.014e+06
6,5,5000,0.673,1.0186e+06
6,5,5000,0.75646,2.297e+05
6,5,5000,0.52943,9.9674e+05
6,5,5000,2.2549,1724.9
6,5,5000,26.449,2.3085e+05
6,5,5000,70.004,9520.4
5,5,5000,0.99191,2.26e+05
5,5,5000,94.493,23014
5,5,5000,421.8,1.1215e+05
5,5,5000,0.7046,9.6688e+05
5,5,5000,13.909,9.9865e+05
5,5,5000,0.9862,9.9465e+05
5,5,5000,0.77246,1.0208e+06
5,5,5000,86.221,18869
5,5,5000,336.01,2.2678e+05
5,5,5000,1.38,1403.1
5,5,5000,157.32,2.2769e+05
6,5,5000,54.131,14494

8,5,5000,96.593,16227
7,5,5000,422.27,2.2903e+05
7,1,5000,1.4041,255.35
7,3,5000,144.89,2.7259e+05
7,3,5000,2.9549,881.46
7,3,5000,34.621,9804.8
7,5,5000,65.043,45661
